QUY TRÌNH VẬN HÀNH THEO TERM,,,,EXW,,,,FOB,,,,CIF
,,B1,Khách hàng,Yêu cầu  dịch vụ,,B1,Khách hàng,Yêu cầu  dịch vụ,,B1,Khách hàng,Yêu cầu  dịch vụ
,,B2,CS,Tiếp nhận ,,B2,CS,Tiếp nhận ,,B2,CS,Tiếp nhận 
,,B3,CS,Gửi thông tin cho chứng từ đường biên,,B3,CS,Gửi thông tin cho chứng từ đường biên,,B3,CS,Gửi thông tin cho chứng từ đường biên
,,B4,Chứng từ đường biển,"Lẩy đủ thông tin : Hàng hóa gì? Term? Ai xuất, ai nhập?",,B4,Chứng từ đường biển,"Lẩy đủ thông tin : Hàng hóa gì? Term? Ai xuất, ai nhập?",,B4,Chứng từ đường biển,"Lẩy đủ thông tin : Hàng hóa gì? Term? Ai xuất, ai nhập?"
,,B5,Chứng từ đường biển,Đủ thông tin: Gửi cho thông tin cho FWD,,B5,Chứng từ đường biển,Đủ thông tin: Gửi cho thông tin cho FWD,,B5,Chứng từ đường biển,Đủ thông tin: Gửi cho thông tin cho FWD
,,B6,Chứng từ đường biển,Check xuất nhập ,,B6,Chứng từ đường biển,Check nhập ,,B6,FWD,Báo giá các dịch vụ theo term
,,B7,FWD,Báo giá các dịch vụ theo term,,B7,FWD,Báo giá các dịch vụ theo term,,B7,Chứng từ đường biển,Nhận báo và làm báo giá theo form
,,B8,Chứng từ đường biển,Nhận báo và làm báo giá theo form,,B8,Chứng từ đường biển,Nhận báo và làm báo giá theo form,,B8,Chứng từ đường biển,Báo giá cho CS
,,B9,Chứng từ đường biển,Báo giá cho CS,,B9,Chứng từ đường biển,Báo giá cho CS,,B9,CS,Nhận báo giá và báo khách
,,B10,CS,Nhận báo giá và báo khách,,B10,CS,Nhận báo giá và báo khách,,B10,Khách hàng,"Đồng ý >>>
Không đồng ý >>> đàm phán với CS"
,,B11,Khách hàng,"Đồng ý >>>
Không đồng ý >>> đàm phán với CS",,B11,Khách hàng,"Đồng ý >>>
Không đồng ý >>> đàm phán với CS",,B11,CS,"Đồng ý >>> phản hồi với chứng từ biển
Không đồng ý >>> Trao đổi TBP CS"
,,B12,CS,"Đồng ý >>> phản hồi với chứng từ biển
Không đồng ý >>> Trao đổi TBP CS",,B12,CS,"Đồng ý >>> phản hồi với chứng từ biển
Không đồng ý >>> Trao đổi TBP CS",,B12,Trưởng BP CS,Đàm phán giá với chứng từ biển  
,,B13,Trưởng BP CS,Đàm phán giá với chứng từ biển  ,,B13,Trưởng BP CS,Đàm phán giá với chứng từ biển  ,,B13,Chứng từ đường biển,"Lấy thông tin hàng hóa, INV, PL, thông tin liên lạc của xưởng"
,,B14,Chứng từ đường biển,"Lấy thông tin hàng hóa, INV, PL, thông tin liên lạc của xưởng
Check tem phụ, tem nhãn",,B14,Chứng từ đường biển,"Lấy thông tin hàng hóa, INV, PL, thông tin liên lạc của xưởng",,B14,Chứng từ đường biển,Gửi TBP vận hành chốt
,,B15,Chứng từ đường biển,Gửi TBP chứng từ chốt,,B15,Chứng từ đường biển,Gửi TBP vận hành chốt,,B15,TBP vận hành,Phản hồi chốt
,,B16,TBP chứng từ,Phản hồi chốt,,B16,TBP vận hành,Phản hồi chốt,,B16,Chứng từ đường biển,Gửi thông tin và báo FWD book cont
,,B17,Chứng từ đường biển,Gửi thông tin và báo FWD book cont,,B17,Chứng từ đường biển,Gửi thông tin và báo FWD book cont,,B17,FWD,Book cont
,,B18,Chứng từ đường biển,Gửi thông tin cho khai báo TQ,,B18,FWD,Book cont,,B18,FWD,Phản hồi với CT đường biển về trạng thái
,,B19,Khai báo TQ,"Gửi INV, PL, khai báo tiếng Trung cho FWD",,B19,FWD,Phản hồi với CT đường biển về trạng thái,,B19,Chứng từ đường biển,Cập nhật trạng thái tàu cho CS
,,B20,FWD,Book cont,,B20,Chứng từ đường biển,Xác nhận lại với FWD và nhận được booking PDF,,B20,CS,Cập nhật trạng thái tàu cho khách
,,B21,FWD,Phản hồi với CT đường biển về trạng thái,,B21,FWD,Gửi HBL nháp cho chứng từ đường biển,,B21,Chứng từ đường biển,Nhận AN ( 1-2 ngày trc ngày tàu dự kiến ) 
