Bảng giá,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tỷ giá,3850,,,,,,,Tỷ giá,3850,,,,,,,,
,,,,Giá 3,,,,,26400,,,Giá 0,,,,,26400,,,,,,,,
,,,,HP,,HCM,,HP,,HCM,,HP,,HCM,,HP,,HCM,,,,,,,
,Đầu mục,Đơn vị tính,VAT,Cont20,Cont40,Cont20,Cont40,Cont20,Cont40,Cont20,Cont40,Cont20,Cont40,Cont20,Cont40,Cont20,Cont40,Cont20,Cont40,,,,,,
Combo dịch vụ EXW,"EXW Charge 
Local charge TQ",Đơn,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FCL,"Form E (<20 items add page fee usd
8/page) (Nếu có)",Set,0,50,50,50,50,1.320.000,1.320.000,1.320.000,1.320.000,50,50,50,50,1.320.000,1.320.000,1.320.000,1.320.000,,,,,,
,Export license (giấy phép xuất khẩu),Set,0,350,350,350,350,1.347.500,1.347.500,1.347.500,1.347.500,400,400,400,400,1.540.000,1.540.000,1.540.000,1.540.000,,,,,,
,Export declare (khai báo xuất khẩu),Set,0,500,500,500,500,1.925.000,1.925.000,1.925.000,1.925.000,500,500,500,500,1.925.000,1.925.000,1.925.000,1.925.000,,,,,,
,THC (Phụ phí xếp dỡ tại cảng),Cont,8%,120,170,120,120,3.168.000,4.488.000,3.168.000,3.168.000,120,170,120,120,3.168.000,4.488.000,3.168.000,3.168.000,,,,,,
,CIC  (Phí cân bằng cont),Cont,8%,120,240,50,50,3.168.000,6.336.000,1.320.000,1.320.000,120,240,50,50,3.168.000,6.336.000,1.320.000,1.320.000,,,,,,
,D/O (Phí chứng từ),Set,8%,35,35,35,35,924.000,924.000,924.000,924.000,35,35,35,35,924.000,924.000,924.000,924.000,,,,,,
,Cleaning fee (Phí vệ sinh cont),Cont,8%,10,15,10,10,264.000,396.000,264.000,264.000,10,15,10,10,264.000,396.000,264.000,264.000,,,,,,
,Handling fee (Phí truyền tờ khai),Set,8%,20,20,20,20,528.000,528.000,528.000,528.000,20,20,20,20,528.000,528.000,528.000,528.000,,,,,,
,Phí thủ tục HQ NK ( luồng vàng ),Set,8%,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,,,,,,
,Phí thủ tục HQ NK ( luồng đỏ),Set,8%,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,,,,,,,,,,
,Phí nâng hạ cont ,Cont,8%,,,,,,,,,,,,,,,,,,,,,,
,Phí CSHT ,Cont,0,250.000,500.000,500.000,500.000,250.000,500.000,500.000,500.000,250.000,500.000,500.000,500.000,250.000,500.000,500.000,500.000,,,,,,
,Phí trucking nội địa Việt Nam,Đơn,8%,,,,,,,,,,,,,,,,,,,,,,
,Phí dịch vụ FCL,Đơn,0,0,0,0,0,0,0,0,0,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,3.000.000,,,,,,
LCL,Phí dịch vụ LCL,Đơn,0,,,,,,,,,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,,,,,,
,CFS ,,,,,,,,,,,,,,,,,,,,,,,,
,Phí bốc xếp lấy hàng tại kho CFS,,8%,,,,,,,,,,,,,,,,,,,,,,
,Phí lưu kho CFS/ ngày/m3,,8%,,,,,,,,,,,,,,,,,,,,,,
,Phí giao nhận kho CFS ,,8%,,,,,,,,,,,,,,,,,,,,,,
